id,review,tagged_review,sentiment
35,ছবির সাথে পন্যের মিল আছে। খুব সুন্দর আর কাপড়ের মান ও ভাল৷ সবাই নিতে পারেন৷,ছবির সাথে পন্যের মিল আছে। খুব সুন্দর আর _NE_কাপড়ের মান ও ভাল৷ সবাই নিতে পারেন৷,2
36,"ড্রেস টা অনেক সুন্দর, অসংখ্য ধন্যবাদ ডেলিভারি খুব দ্রুত দেয়ার জন্য","_NE_ড্রেস টা অনেক সুন্দর, অসংখ্য ধন্যবাদ ডেলিভারি খুব দ্রুত দেয়ার জন্য",2
37,"জাস্ট,অসাধরন ড্রেসটা 🌼।আমার খুবই পছন্দ  হয়েছে💜💜❤️❤️❤️","জাস্ট,অসাধরন _NE_ড্রেসটা 🌼।আমার খুবই পছন্দ  হয়েছে💜💜❤️❤️❤️",2
76,ড্রেসটা অনেক সুন্দর হয়ছে এবং দ্রুত হাতে পেয়েছি।অনেক ধন্যবাদ দারাজ এবং গ্লাম টাচ,_NE_ড্রেসটা অনেক সুন্দর হয়ছে এবং দ্রুত হাতে পেয়েছি।অনেক ধন্যবাদ দারাজ এবং গ্লাম টাচ,2
220,ড্রেসটা সুন্দর ছিলো। সবাই নিতে পারেন আর কাপড় টাও খুবই ভালো। পুরো সেম ছবির সাথে,_NE_ড্রেসটা সুন্দর ছিলো। সবাই নিতে পারেন আর কাপড় টাও খুবই ভালো। পুরো সেম ছবির সাথে,2
225,দাম অনুযায়ী প্রোডাক্ট ভালো না। কোয়ালিটি আরো ভালো হওয়া উচিত ছিল।,দাম অনুযায়ী _NE_প্রোডাক্ট ভালো না। কোয়ালিটি আরো ভালো হওয়া উচিত ছিল।,0
232,"জামাটা অনেক অনেক সুন্দর, আপনারা চাইলে নিতে পারেন","_NE_জামাটা অনেক অনেক সুন্দর, আপনারা চাইলে নিতে পারেন",2
897,বেশি সুন্দর ড্রেসটা... যেই কালার চেয়েছি ঠিক সেটাই পেয়েছি .।আলহামদুলিল্লাহ 😍😍,বেশি সুন্দর _NE_ড্রেসটা... যেই কালার চেয়েছি ঠিক সেটাই পেয়েছি .।আলহামদুলিল্লাহ 😍😍,2
918,যথেষ্ট ভালো জামাটা ছবিতে যেমন বআস্তবেও তেমনি..সাইজও ঠিক ঠাক আছে..ধন্যবাদ সেলার..,যথেষ্ট ভালো _NE_জামাটা ছবিতে যেমন বআস্তবেও তেমনি..সাইজও ঠিক ঠাক আছে..ধন্যবাদ সেলার..,2
934,আসল জিনিষটা ছবির মত না,আসল _NE_জিনিষটা ছবির মত না,0
1010,কাপরের মান অনুযায়ী দাম বেশি। রং বা কালার ঠিক আছে।,_NE_কাপরের মান অনুযায়ী দাম বেশি। রং বা কালার ঠিক আছে।,0
1215,সঠিক সাইজ অনুযায়ী সঠিক পন্যটি পেয়েছি পরতেও আরামদায়ক 🥰 রিকমান্ডেড,সঠিক সাইজ অনুযায়ী সঠিক _NE_পন্যটি পেয়েছি পরতেও আরামদায়ক 🥰 রিকমান্ডেড,1
1222,"পন্যের মান দামের সাথে সামঞ্জস্যতা নাই,দাম অনুপাতে মান ততটা ভালো নয়","_NE_পন্যের মান দামের সাথে সামঞ্জস্যতা নাই,দাম অনুপাতে মান ততটা ভালো নয়",0
1724,খুব সস্তা কাপর ৫০০ টাকা দা‌মের  আ‌মি রিটার্ণ করব,খুব সস্তা _NE_কাপর ৫০০ টাকা দা‌মের  আ‌মি রিটার্ণ করব,1
1727,এই কাপরের রং উঠে কেউ কিনবেন না।,এই _NE_কাপরের রং উঠে কেউ কিনবেন না।,0
1859,ব্রাউজ ফ্রি পেয়েছি কিন্তূ বাজার থেকে পেটিকোট মিলিয়ে নিতে পারছিনা ,_NE_ব্রাউজ ফ্রি পেয়েছি কিন্তূ বাজার থেকে পেটিকোট মিলিয়ে নিতে পারছিনা ,1
2104,"কাপরটা অনেক কুচকানো ছিলো, কিন্তুু যা দেখেছি তাই পাইছি","_NE_কাপরটা অনেক কুচকানো ছিলো, কিন্তুু যা দেখেছি তাই পাইছি",1
2151,শাড়িটা অসাধারণ। ধন্যবাদ। এভাবেই মানসম্মত প্রোডাক্ট বিক্রি করতে থাকুন। শুভ কামনা।,_NE_শাড়িটা অসাধারণ। ধন্যবাদ। এভাবেই মানসম্মত প্রোডাক্ট বিক্রি করতে থাকুন। শুভ কামনা।,2
2182,পণ্যের মান হিসেবে দাম বেশি,_NE_পণ্যের মান হিসেবে দাম বেশি,0
